Datetime,Open,High,Low,Close,Volume,OI,Date,Time
2025-02-28 11:07:00+05:30,1299.45,1299.5,1297.5,1298.0,756,0,2025-02-28,11:07:00
2025-02-28 11:08:00+05:30,1298.0,1299.4,1298.0,1299.15,925,0,2025-02-28,11:08:00
2025-02-28 11:09:00+05:30,1299.15,1299.3,1298.3,1299.25,1859,0,2025-02-28,11:09:00
2025-02-28 11:10:00+05:30,1299.25,1299.25,1298.4,1298.4,1219,0,2025-02-28,11:10:00
2025-02-28 11:11:00+05:30,1298.4,1299.05,1296.2,1296.3,1965,0,2025-02-28,11:11:00
2025-02-28 11:12:00+05:30,1296.9,1298.5,1296.8,1298.5,1105,0,2025-02-28,11:12:00
2025-02-28 11:13:00+05:30,1298.5,1299.25,1298.3,1298.95,2054,0,2025-02-28,11:13:00
2025-02-28 11:14:00+05:30,1298.95,1299.3,1298.55,1298.75,1386,0,2025-02-28,11:14:00
2025-02-28 11:15:00+05:30,1298.6,1299.75,1298.4,1299.3,1416,0,2025-02-28,11:15:00
2025-02-28 11:16:00+05:30,1299.3,1300.45,1299.3,1300.0,3289,0,2025-02-28,11:16:00
2025-02-28 11:17:00+05:30,1300.0,1301.4,1297.55,1298.55,83142,0,2025-02-28,11:17:00
2025-02-28 11:18:00+05:30,1298.55,1299.5,1296.1,1297.9,3765,0,2025-02-28,11:18:00
2025-02-28 11:19:00+05:30,1297.9,1299.5,1297.75,1298.85,1042,0,2025-02-28,11:19:00
2025-02-28 11:20:00+05:30,1298.95,1299.4,1297.85,1298.2,1159,0,2025-02-28,11:20:00
2025-02-28 11:21:00+05:30,1297.9,1297.95,1296.6,1297.15,1272,0,2025-02-28,11:21:00
2025-02-28 11:22:00+05:30,1297.0,1298.95,1295.4,1298.95,4282,0,2025-02-28,11:22:00
2025-02-28 11:23:00+05:30,1298.55,1299.0,1295.9,1296.85,1451,0,2025-02-28,11:23:00
2025-02-28 11:24:00+05:30,1296.95,1297.05,1295.5,1296.4,1028,0,2025-02-28,11:24:00
2025-02-28 11:25:00+05:30,1296.4,1297.25,1296.4,1297.15,1447,0,2025-02-28,11:25:00
2025-02-28 11:26:00+05:30,1297.15,1297.25,1296.8,1297.05,118,0,2025-02-28,11:26:00
2025-02-28 11:27:00+05:30,1297.05,1298.95,1297.05,1298.15,2506,0,2025-02-28,11:27:00
2025-02-28 11:28:00+05:30,1298.15,1299.05,1297.25,1297.9,679,0,2025-02-28,11:28:00
2025-02-28 11:29:00+05:30,1297.9,1300.7,1297.9,1300.25,7450,0,2025-02-28,11:29:00
2025-02-28 11:30:00+05:30,1300.4,1301.95,1300.3,1301.55,1829,0,2025-02-28,11:30:00
2025-02-28 11:31:00+05:30,1301.55,1301.75,1299.2,1299.8,1263,0,2025-02-28,11:31:00
2025-02-28 11:32:00+05:30,1299.8,1300.25,1297.35,1297.35,6385,0,2025-02-28,11:32:00
2025-02-28 11:33:00+05:30,1297.35,1297.85,1297.0,1297.4,1872,0,2025-02-28,11:33:00
2025-02-28 11:34:00+05:30,1297.4,1298.0,1297.1,1297.8,937,0,2025-02-28,11:34:00
2025-02-28 11:35:00+05:30,1298.0,1298.7,1297.25,1298.0,1321,0,2025-02-28,11:35:00
2025-02-28 11:36:00+05:30,1298.0,1298.0,1297.25,1297.35,829,0,2025-02-28,11:36:00
2025-02-28 11:37:00+05:30,1297.35,1297.95,1297.05,1297.15,1227,0,2025-02-28,11:37:00
2025-02-28 11:38:00+05:30,1297.15,1298.5,1297.15,1298.5,911,0,2025-02-28,11:38:00
2025-02-28 11:39:00+05:30,1298.5,1298.55,1297.4,1297.65,1607,0,2025-02-28,11:39:00
2025-02-28 11:40:00+05:30,1297.1,1297.75,1297.05,1297.65,1133,0,2025-02-28,11:40:00
2025-02-28 11:41:00+05:30,1297.65,1297.65,1296.0,1296.0,1964,0,2025-02-28,11:41:00
2025-02-28 11:42:00+05:30,1296.0,1296.4,1295.5,1296.2,2361,0,2025-02-28,11:42:00
2025-02-28 11:43:00+05:30,1296.35,1297.3,1296.1,1296.95,1695,0,2025-02-28,11:43:00
2025-02-28 11:44:00+05:30,1296.95,1297.5,1296.95,1297.05,2954,0,2025-02-28,11:44:00
2025-02-28 11:45:00+05:30,1297.5,1297.5,1296.25,1297.0,2614,0,2025-02-28,11:45:00
2025-02-28 11:46:00+05:30,1297.0,1297.75,1296.5,1297.0,4991,0,2025-02-28,11:46:00
2025-02-28 11:47:00+05:30,1297.0,1299.0,1297.0,1298.75,2354,0,2025-02-28,11:47:00
2025-02-28 11:48:00+05:30,1298.75,1299.5,1298.15,1298.15,1467,0,2025-02-28,11:48:00
2025-02-28 11:49:00+05:30,1297.25,1297.85,1296.5,1296.75,7857,0,2025-02-28,11:49:00
2025-02-28 11:50:00+05:30,1297.35,1298.15,1297.2,1298.0,1986,0,2025-02-28,11:50:00
2025-02-28 11:51:00+05:30,1298.0,1298.1,1297.05,1298.05,3654,0,2025-02-28,11:51:00
2025-02-28 11:52:00+05:30,1297.75,1299.0,1297.75,1298.4,2125,0,2025-02-28,11:52:00
2025-02-28 11:53:00+05:30,1298.3,1299.0,1297.55,1298.2,1810,0,2025-02-28,11:53:00
2025-02-28 11:54:00+05:30,1298.2,1298.2,1297.6,1298.15,1841,0,2025-02-28,11:54:00
2025-02-28 11:55:00+05:30,1298.2,1298.45,1297.35,1297.35,2974,0,2025-02-28,11:55:00
2025-02-28 11:56:00+05:30,1297.4,1298.45,1297.35,1298.45,1813,0,2025-02-28,11:56:00
2025-02-28 11:57:00+05:30,1298.2,1298.25,1298.0,1298.0,922,0,2025-02-28,11:57:00
2025-02-28 11:58:00+05:30,1297.6,1298.65,1296.25,1298.6,10942,0,2025-02-28,11:58:00
2025-02-28 11:59:00+05:30,1297.8,1297.8,1296.5,1297.1,2288,0,2025-02-28,11:59:00
2025-02-28 12:00:00+05:30,1297.1,1298.0,1291.5,1294.2,18006,0,2025-02-28,12:00:00
2025-02-28 12:01:00+05:30,1294.2,1295.15,1293.4,1295.0,4629,0,2025-02-28,12:01:00
2025-02-28 12:02:00+05:30,1295.0,1295.4,1293.7,1293.7,2099,0,2025-02-28,12:02:00
2025-02-28 12:03:00+05:30,1293.7,1294.35,1292.0,1292.9,4760,0,2025-02-28,12:03:00
2025-02-28 12:04:00+05:30,1292.9,1293.5,1292.4,1292.4,1739,0,2025-02-28,12:04:00
2025-02-28 12:05:00+05:30,1291.55,1292.8,1290.5,1290.5,5703,0,2025-02-28,12:05:00
2025-02-28 12:06:00+05:30,1290.4,1290.7,1287.75,1287.8,15093,0,2025-02-28,12:06:00
2025-02-28 12:07:00+05:30,1288.0,1288.4,1284.3,1286.2,15003,0,2025-02-28,12:07:00
2025-02-28 12:08:00+05:30,1286.0,1286.8,1284.5,1284.65,6122,0,2025-02-28,12:08:00
2025-02-28 12:09:00+05:30,1284.65,1285.55,1283.15,1284.4,1955,0,2025-02-28,12:09:00
2025-02-28 12:10:00+05:30,1284.4,1285.4,1283.1,1284.15,4101,0,2025-02-28,12:10:00
2025-02-28 12:11:00+05:30,1284.15,1285.35,1284.15,1285.35,1592,0,2025-02-28,12:11:00
2025-02-28 12:12:00+05:30,1285.35,1287.7,1284.5,1287.7,3521,0,2025-02-28,12:12:00
2025-02-28 12:13:00+05:30,1287.7,1287.85,1286.2,1286.2,2634,0,2025-02-28,12:13:00
2025-02-28 12:14:00+05:30,1286.2,1287.4,1286.0,1286.0,2521,0,2025-02-28,12:14:00
2025-02-28 12:15:00+05:30,1285.95,1285.95,1285.0,1285.85,964,0,2025-02-28,12:15:00
2025-02-28 12:16:00+05:30,1285.85,1288.0,1285.85,1287.65,3279,0,2025-02-28,12:16:00
